PMID,title,abstract
15106527,"11th annual retrovirus conference. Drug update: the old, the new, the still to come.",
15186710,Preventing and managing antiretroviral drug resistance.,"Development of resistance to antiretroviral drugs (ARVs) is a major impediment to optimum treatment of HIV-1 infection. Although resistance testing can help to select subsequent regimens when virologic failure occurs, cross-resistance, which affects all classes of ARVs, may make it more difficult to achieve optimum control of HIV. We have known for some time that our first choice of antiretroviral therapy offers the best chance to control HIV replication and that initial therapy should be selected with an eye on future options. Potency is the first line of defense against the development of resistance. Other factors that affect resistance development include: tolerability, potential for optimum adherence, and genetic and pharmacologic barriers to development of resistance. If resistance emerges, only a single drug may be affected initially, and a rapid change in ARVs may preserve the efficacy of other components. One cautionary note is that we can no longer assume that a patient\'s HIV is fully susceptible to all ARVs even in the initial regimen. Transmission of drug-resistant HIV means that the genetic composition may be that of an ""experienced"" virus with reduced susceptibility to ARVs. Resistance testing at the time of transmission is most likely to reveal this resistance, but over time the dominant genetic pattern may revert to wild-type, and be missed by resistance testing. Because ""archived"" resistant HIV may emerge quickly once treatment is initiated, we need to keep this in mind when selecting initial therapy."
15203426,Clinical assessment of medication adherence among HIV-infected children: examination of the Treatment Interview Protocol (TIP).,"This paper presents findings of a multi-site study designed to document: (1) caregivers' regimen knowledge; (2) barriers to adherence; and (3) the relationships between adherence, regimen knowledge and barriers. Fifty-one predominantly female, African American parents and caregivers of HIV-infected children completed the Treatment Interview Protocol (TIP), a brief, structured interview designed to assess regimen knowledge and barriers to adherence. TIP data were compared to information obtained from medical records and pharmacy refill histories. Forty-nine per cent of children were considered adherent, defined as > or = 90% refill rate, which was significantly associated with virologic response. Significant regimen knowledge deficits were observed among caregivers, and inaccurate identification of prescribed medications was significantly associated with adherence. Caregivers identified 21 barriers to adherence, and poor adherence was significantly related to the number of barriers reported. Results indicate that the TIP is a successful tool for identifying regimen knowledge, potential adherence barriers and adherence problems. Results suggest that the TIP could be integrated into clinical practice as a quick, effective tool to identify poor adherers and guide interventions and treatment decision making."
15218140,Monitoring treatment: at what cost?,
15228148,"Therapeutic drug monitoring for patients with HIV infection: Children's National Medical Center, Washington DC experience.",This paper provides a brief overview of therapeutic drug monitoring (TDM) in patients with HIV infection. The manuscipt not only focuses on an update on TDM in HIV infection but also provides the latest information on tandem mass spectrometric methods for antiretroviral drug quantification. Also discussed are the preliminary new and original data on free antiretroviral drug measurement in both plasma and saliva.
15228151,Therapeutic drug monitoring in children with HIV/AIDS.,"In this paper we present an overview on the use of TDM in the treatment of HIV-1-infected children. The processes of growth and development have a significant impact on drug metabolism. The use of TDM makes it possible to optimize plasma drug concentrations of antiretroviral drugs. This is important when one considers that the levels of viral suppression and drug toxicity in adults and children are associated with the plasma concentration of PIs and NNRTIs. Indeed, in clinical practice the use of TDM in the treatment of HIV-1-infected children has favorable results. However, there is a serious shortage of population reference values of antiretroviral medication in children. Targeting plasma drug levels in children to adult reference values may be insufficient because of the unique features of HIV infection in children. Apart from its primary function for dose optimization, TDM can also be used as a tool to assess adherence to antiviral medication. One should, however, be cautious to base assumptions on plasma levels alone because aberrant plasma levels may also be the result of other factors such as changes in nutritional habits, drug-drug interactions, or changing gastric motility. We conclude that TDM is a useful tool in the treatment of HIV-1-infected children. Additional data are needed to establish child-specific reference values and to assess the optimal method of TDM."
15236622,Determination of indinavir and nelfinavir trough plasma concentration efficacy thresholds according to virological response in HIV-infected patients.,"BACKGROUND: There is evidence to suggest a pharmacokinetic-pharmacodynamic relationship in HIV-infected patients receiving protease inhibitor (PI)-containing highly active antiretroviral therapy (HAART); however, the effective trough PI plasma concentrations achieved have not been precisely determined. METHODS: The relationship between HIV viral load and concomitant PI trough plasma concentration (C(trough)) was evaluated in 101 patients receiving at least 4 months of thrice daily indinavir (IDV)-containing (n=68) or nelfinavir (NFV)-containing (n=33) HAART. The more discriminating C(trough) efficacy thresholds were determined statistically for each PI by using the raw C(trough) and the time-corrected C(trough), using the precise delay since the last PI intake and the half-life of each PI. RESULTS: For IDV (P=0.002) and NFV (P=0.019) median C(trough) levels were higher in patients with undetectable viral load [0.23 mg/L (n=30) and 2.3 mg/L (n=16) respectively] than in patients with detectable viral load [0.11 mg/L (n=38) and 0.6 mg/L (n=17) respectively]. C(trough) levels of IDV (r=-0.45; P<0.0001) and NFV (r=-0.43; P=0.011) were correlated with the concomitant viral load. The more discriminating C(trough) efficacy thresholds were estimated statistically as 0.12 mg/L for IDV and 0.5 mg/L for NFV. When C(trough) values were time-corrected, the C(trough) efficacy thresholds, 8 h after the last intake, were 0.15 mg/L for IDV and 0.65 mg/L for NFV. CONCLUSIONS: These results support the importance of achieving minimal effective C(trough) to improve the virological efficacy of PI-containing HAART, and specify the target concentrations for IDV and NFV."
15286240,Evaluation and treatment of the human immunodeficiency virus-1--exposed infant.,"In developed countries, care and treatment are available for pregnant women and infants that can decrease the rate of perinatal human immunodeficiency virus type 1 (HIV-1) infection to 2% or less. The pediatrician has a key role in prevention of mother-to-child transmission of HIV-1 by identifying HIV-exposed infants whose mothers' HIV infection was not diagnosed before delivery, prescribing antiretroviral prophylaxis for these infants to decrease the risk of acquiring HIV-1 infection, and promoting avoidance of HIV-1 transmission through human milk. In addition, the pediatrician can provide care for HIV-exposed infants by monitoring them for early determination of HIV-1 infection status and for possible short- and long-term toxicities of antiretroviral exposure, providing chemoprophylaxis for Pneumocystis pneumonia, and supporting families living with HIV-1 infection by providing counseling to parents or caregivers."
15286513,The changing face of AIDS.,
15328077,Population pharmacokinetics of indinavir in patients infected with human immunodeficiency virus.,"Indinavir is currently used at a fixed dose of 800 mg either three times a day or twice a day in combination with 100 mg of ritonavir. Dosage individualization based on plasma concentration monitoring might, however, be indicated. This study aimed to assess the pharmacokinetic profile of indinavir in patients infected with human immunodeficiency virus to characterize interpatient and intrapatient variability and to build up a Bayesian approach for dosage adaptation. A population analysis was performed with the NONMEM computer program with 569 plasma samples from a cohort of 239 unselected patients receiving indinavir. A one-compartment model with first-order absorption was adapted, and the influences of clinical characteristics on oral clearance (CL) and distribution volume (V) were examined. Predicted average drug exposure and trough and peak concentrations were derived for each patient and correlated with efficacy and toxicity markers. The population estimates of CL were 32.4 liters/h for female and 42.0 liters/h for male patients; oral V was 65.7 liters; and the rate constant of absorption (K(a)) was 1.0 h(-1). CL decreased by 63% with ritonavir intake and was moderately correlated to body weight. Both interpatient variability, best assigned to oral CL (coefficient of variation [CV], 39%) and K(a) (CV, 67%), and intrapatient variability were large (CV, 41%; standard deviation, 670 microg/liter). In conclusion, initial indinavir dosage should be decided according to ritonavir intake and sex, prior to plasma concentration measurements. The high interpatient pharmacokinetic variability represents an argument for therapeutic drug monitoring."
15337632,Follow-up measurements of Nevirapine plasma levels over a prolonged period.,"Over a period of more than four years of treatment, 177 Nevirapine plasma levels were taken from 27 patients. The values showed a high inter-patient variability and a lower intra-patient variability. Differences in body weight turned out to be the main reason for inter-patient variability. Treatment over a prolonged period did not result in any change in plasma concentrations. Adjusting dosage by means of therapeutic drug monitoring would appear to be a reasonable way of maximising patient benefit from treatment."
15362661,Atazanavir enhances saquinavir hard-gel concentrations in a ritonavir-boosted once-daily regimen.,"OBJECTIVE: To determine the pharmacokinetics of saquinavir hard-gel capsules/ritonavir/atazanavir co-administered once daily at 1600/100/300 mg in HIV-infected individuals. METHODS: Eighteen patients receiving saquinavir/ritonavir switched to 1600/100 mg once daily a minimum of 3 days before the study. On study day 1, levels of saquinavir and ritonavir were determined over 24 h. Atazanavir (300 mg once daily) was then added to the regimen. On day 11, a pharmacokinetic analysis was performed. Atazanavir was discontinued on day 32. Drug concentrations were measured by high-pressure liquid chromatography-tandem mass spectrometry. Geometric mean ratios (GMR) and 95% confidence intervals (CI) were used to compare saquinavir and ritonavir pharmacokinetic parameters, with and without atazanavir. A safety analysis was performed at screening, days 1, 11, 32 and follow-up. RESULTS: After the addition of atazanavir, statistically significant increases in saquinavir trough plasma concentration (Ctrough GMR, 95% CI 2.12, 1.72-3.50), maximum plasma concentration (Cmax 1.42, 1.24-1.94), area under the plasma concentration-time curve from 0-24 h (AUC0-24 1.60, 1.35-2.43) and ritonavir Cmax (1.58, 1.32-2.08), AUC0-24 (1.41, 1.22-1.74) were observed. The pharmacokinetics of atazanavir compared with those obtained in patients receiving atazanavir/ritonavir without saquinavir. Four patients developed scleral icterus and two jaundice. Total and unconjugated bilirubin increased approximately fivefold during atazanavir therapy. CONCLUSION: The addition of atazanavir to saquinavir/ritonavir increased saquinavir Ctrough, Cmax and AUC0-24 by 112, 42 and 60%. Ritonavir Cmax and AUCo-24 increased by 34 and 41%. The regimen was well tolerated, with no significant change in laboratory parameters, except for the occurrence of hyperbilirubinemia."
15366104,"Protease inhibitor boosting is complex, requires thorough knowledge of interactions.",
15369510,GENOPHAR: a randomized study of plasma drug measurements in association with genotypic resistance testing and expert advice to optimize therapy in patients failing antiretroviral therapy.,"OBJECTIVES: To evaluate the benefits of therapeutic drug monitoring (TDM) in association with genotypic resistance testing and expert advice to optimize therapy in multiexperienced patients infected with HIV-1. METHODS: Patients with a viral load>1000 HIV-1 RNA copies/mL and an unchanged antiretroviral therapy regimen over the last 3 months were randomized into two groups: a genotypic group (G) and a geno-pharmacological group (GP). Treatment was selected by an expert committee according to genotypic resistance testing (the G and GP groups) and TDM (the GP group) at week 4. Treatment could be modified at each visit according to toxicity, poor virological response and TDM. Results of TDM were withheld from the G group until week 12. The primary endpoint of the study was the percentage of patients with viral load<200 copies/mL at week 12. RESULTS: A total of 134 patients were randomized in the study, with 67 in each group, and included in the intent-to-treat (ITT) analysis. At baseline, median values were as follows: viral load (log(10) copies/mL): G=4.1, GP=4.0; CD4 cell count (cells/microL): G=292, GP=294; and number of prior drugs: G=7, GP=8. The median number of resistance mutations was five in the G group [nucleoside reverse transcriptase inhibitors (NRTIs)=three; non-nucleoside reverse transcriptase inhibitors (NNRTIs)=one; protease inhibitors (PI)=one] and seven in the GP group (NRTI=four; NNRTI=two; PI=one). At week 8, treatment was adjusted according to the TDM in 13 of the 67 patients in the GP group (19%). By ITT missing equal failure analysis at week 12, and after only one intervention according to plasma concentration results, a viral load<200 copies/mL was achieved in 30 of the 67 patients (45%) in the G group and in 29 of the 67 patients (43%) in the GP group (not significant). In the multivariate analysis, only prior exposure to at least two PIs at baseline gave a poor response to subsequent antiretroviral therapy. At week 24, a viral load<200 copies/mL was achieved in 35 of the 67 patients (52%) in the G group and in 40 of the 67 patients (60%) in the GP group. CONCLUSIONS: A statistically significant benefit of using TDM was not found in this short-term study where patients appeared to be adherent. However, combining genotypic resistance testing with the use of an expert committee to monitor subsequent therapy individually in patients with multiple resistance mutations was associated with high antiviral efficacy."
15373053,[Determination of serum levels of antiretroviral drugs].,
15384773,[A chronic infection with long-term treatment].,
15385834,Simplification of therapeutic drug monitoring for twice-daily regimens of lopinavir/ritonavir for HIV infection.,"Cost and inconvenience limit the application of full 12-hour pharmacokinetic (PK) analysis for routine therapeutic drug monitoring of antiretroviral medications. We explore whether lopinavir (LPV) and ritonavir (RTV) exposures can be estimated with limited sampling for patients taking twice-daily LPV/RTV. One hundred and one PK profiles from 81 patients, most receiving salvage therapies including twice-daily LPV/RTV, were obtained for the analysis. After a minimum of 2 weeks on a stable regimen, blood was drawn immediately before and at 1, 2, 4, 6, 8, 10, and 12 hours after a timed medication dose. Plasma drug concentrations were determined by a validated HPLC-MS-MS assay. Peak concentrations, evening troughs, and AUC0-12 h were entered into linear and log10-log10 linear regression models to determine the best correlation with LPV and RTV plasma concentrations using a maximum of 2 time points. The accuracy and precision of PK parameter estimates of the resultant models were tested on data collected for an additional 25 patients. Twelve models using various combinations of 2 timed LPV concentrations afforded accurate (maximum % bias = -6.45) and precise (relative standard deviation < 15%) estimates for the LPV peak concentration or AUC0-12h. Four sets of 2 concentrations provided simultaneous estimates of both PK parameters, with the best estimates derived from data collected at 2 and 6 hours postdose. Evening trough concentrations were the best estimators of the daily nadir; however, no adequate substitute for collecting blood 12 hours postdose emerged from this analysis."
15385842,Therapeutic drug monitoring of nelfinavir in pregnancy: a case report.,"One of the indications for therapeutic drug monitoring (TDM) may be the use of antiretroviral agents during pregnancy. We report on a case in which repeated low plasma levels of nelfinavir were observed. After an initial good virologic response, virologic failure appeared to occur, and dose modifications guided by TDM were performed. Although a causal relationship cannot be proven, viral load became undetectable after our interventions. A healthy uninfected daughter was born."
15456085,The NIQ of lopinavir is predictive of a 48-week virological response in highly treatment-experienced HIV-1-infected subjects treated with a lopinavir/ritonavir-containing regimen.,"OBJECTIVE: To investigate the normalized inhibitory quotient (NIQ) of lopinavir (LPV) as a predictor of 48-week virological responses to a lopinavir/ritonavir (LPV/RTV)-containing regimen in highly treatment-experienced patients. DESIGN: We calculated the NIQ for 59 patients who completed 48 weeks' treatment and assessed the factors predicting a week-48 virological response. METHODS: The NIQ was calculated by dividing each subject's IQ (LPV Ctrough/fold change in LPV susceptibility, as assessed by VirtualPhenotype) by a reference IQ (mean population LPV Ctrough/fold change in LPV IC50, as assessed by VirtualPhenotype). HIV-1 RNA was assessed by NASBA (quantification limit: 80 copies/ml). The general linear model and multiple logistic regression, respectively, were used to estimate the independent predictors of a change in viral load and HIV-1 RNA <80 copies/ml. RESULTS: The median (interquartile range) baseline levels of CD4+ cells and HIV-1 RNA were 251 (141-385) cells/microl and 4.85 (4.49-5.23) log10 copies/ml, respectively. The median NIQ was 2.2 (0.5-14). At week 48, the median decrease in HIV-1 RNA was 1.4 (0.59-2.79) log10 copies/ml (P<0.0001), with 24 subjects (41%) reaching <80 copies/mi. Baseline HIV-1 RNA (P=0.001), CD4+ cells (P=0.002) and NIQ (P=0.0006) independently predicted the week-48 change in viral load, whereas baseline CD4+ cells (P=0.011) and NIQ (P=0.009) independently predicted a week-48 HIV-1 RNA level of <80 copies/ml. CONCLUSION: The LPV NIQ independently predicts virological responses to an LPV/RTV-containing regimen in highly treatment-experienced HIV-1-infected patients."
15472796,Usefulness of therapeutic drug monitoring of antiretrovirals in routine clinical practice.,"BACKGROUND: Clinical trials have shown that therapeutic drug monitoring (TDM) of antiretrovirals (ARV) improves patient care. However, little is known about the usefulness of TDM in routine practice. METHOD: We reviewed all the trough concentrations of protease inhibitors and nonnucleoside reverse transcriptase inhibitors that were performed for therapeutic failure, suspected drug toxicity, or routine purposes. RESULTS: Between 1998 and 2001, 146 TDMs were done in 109 HIV patients. Of the 48 patients with therapeutic failure, 62% had resistance to ARV with adequate ARV concentrations, 16% had insufficient drug exposure without any ARV resistance mutations, and 16% combined both resistance and suboptimal drug concentrations. Subsequent therapeutic interventions (increasing adherence and/or changing HAART) resulted in an undetectable viral load in 37.5% of the patients (14/48). Five (24%) of 21 patients with suspected drug toxicity had high drug concentrations associated with side effects. In all the cases, adverse events regressed after reduction of drug dosage. Of the 77 TDMs done for routine purposes, 26% were outside the therapeutic range. CONCLUSION: The data show that TDM of ARVs in the clinical setting provides important information that can be used to improve the management of HIV patients receiving antiretroviral therapy."
15503932,HIV update: emerging clinical evidence and a review of recommendations for the use of highly active antiretroviral therapy.,"PURPOSE: This supplement will focus on recent trial data concerning the efficacy of certain nucleoside reverse transcriptase inhibitor (NRTI)-based highly active antiretroviral therapy (HAART) regimens, the most recent guidelines from the Department of Health and Human Services (DHHS) for the timing of antiretroviral (ARV) therapy initiation, and recommended ARV drug classes for managing treatment-naive patients with HIV. SUMMARY: When choosing an initial regimen for the treatment of HIV, it is important to carefully consider therapeutic goals. These goals include choosing HAART that is likely to maximally suppress viral replication, maintain or restore immunologic function, improve quality of life, and reduce HIV-related morbidity and mortality. The evidence-based DHHS guidelines recommend HAART regimens that are non-nucleoside reverse transcriptase inhibitor (NNRTI)- or protease inhibitor (PI)-based. DHHS, however, does not recommend the use of triple-NRTI therapy for the initial treatment of HIV unless a preferred or alternative NNRTI- or PI-based regimen cannot be used. This recommendation concerning triple-NRTI therapy is supported by results from recent trials that demonstrated inferior outcomes with triple-NRTI-containing regimens compared with NNRTI- or PI-based HAART regimens. The timing for initiation of ARV therapy continues to change over time as the DHHS guidelines have evolved. Although the benefits of initiating ARV when CD4 cell count is < 200 cells/mm3 are well established, the use of early versus late initiation of ARV therapy in patients with CD4 cell counts > 200 cells/mm3 has its own benefits and drawbacks. CONCLUSION: To successfully manage people with HIV, it is crucial to find a balance between ARV potency, tolerability, safety, and convenience while providing durable viral suppression."
15509183,Practical guidelines to interpret plasma concentrations of antiretroviral drugs.,"Several relationships have been reported between antiretroviral drug concentrations and the efficacy of treatment, and toxicity. Therefore, therapeutic drug monitoring (TDM) may be a valuable tool in improving the treatment of HIV-1-infected patients in daily practice. In this regard, several measures of exposure have been studied, e.g. trough and maximum concentrations, concentration ratios and the inhibitory quotient. However, it has not been unambiguously established which pharmacokinetic parameter should be monitored to maintain optimal viral suppression. Each pharmacokinetic parameter has its pros and cons. Many factors can affect the pharmacokinetics of antiretroviral agents, resulting in variability in plasma concentrations between and within patients. Therefore, plasma concentrations should be considered on several occasions. In addition, the interpretation of the drug concentration of a patient should be performed on an individual basis, taking into account the clinical condition of the patient. Important factors herewith are viral load, immunology, occurrence of adverse events, resistance pattern and comedication. In spite of the described constraints, the aim of this review is to provide a practical guide for TDM of antiretroviral agents. This article outlines pharmacokinetic target values for the HIV protease inhibitors amprenavir, atazanavir, indinavir, lopinavir, nelfinavir, ritonavir and saquinavir, and the non-nucleoside reverse transcriptase inhibitors efavirenz and nevirapine. Detailed advice is provided on how to interpret the results of TDM of these drugs."
15537695,The intracellular pharmacology of antiretroviral protease inhibitors.,"Therapeutic drug monitoring (TDM) of antiretroviral protease inhibitors (PIs) has been suggested to have the potential to both reduce toxicity and optimize individual therapy. However, the major target of PIs is within cells infected with HIV. Therefore clinical outcome ultimately must be related to intracellular drug concentrations since antiviral activity of PIs is highly correlated with intracellular concentrations in vitro. Intracellular pharmacokinetics provides information regarding drug disposition in a compartment where HIV replication occurs and combined with plasma data may be useful in understanding therapeutic failure in relation to cellular resistance. In order to improve therapeutic efficacy, it is therefore important that the intracellular pharmacokinetics of drugs, such as PIs, is studied in addition to plasma pharmacokinetics. Multidrug resistance transporters may result in a lower cellular concentration of drug via an efflux mechanism, thus contributing to sanctuary site formation. However, conclusive proof that transporters contribute to clinical drug resistance is still lacking, although recent studies have attempted to address this issue. In relation to host and cellular factors, this review considers several issues involved in influencing intracellular drug concentrations and discusses the intracellular levels of PIs recently published from cellular studies."
15544452,Improving HIV infection management using antiretroviral plasma drug levels monitoring: a clinician's point of view.,"Due to genetic and environmental factors, there are wide inter-patient differences when measuring drug exposure to a standard dose. If there is a relationship between drug exposure and efficacy or toxicity, this inter-patient variability carries various risks to develop toxicity or failure. Therapeutic drug monitoring is an attempt to adjust the dose to obtain a level within a therapeutic range consisting in a minimum plasma concentration needed to be efficacious and a maximum plasma concentration not to exceed to avoid toxicity. Many studies have shown a relationship between various pharmacokinetic parameters and drug toxicity or efficacy for HIV protease inhibitors (PIs) and non-nucleoside reverse transcriptase inhibitors (NNRTIs). Therapeutic drug monitoring (TDM) proves to be a useful tool to assess adherence, to investigate drug-drug interactions between antiretroviral (ARV) drugs or with co-medications, to prevent some ARV drug toxicities, to adjust the dosage in particular populations, and to increase ARV efficacy of some drugs in naive patients. The integration of virological and pharmacological parameters, using inhibitory quotients, looks promising to improve therapy in ARV-experienced patients. Effective and non-toxic target concentrations will be determined for all present and future antiretroviral drugs covering the extended spectrum of naive patients to multiple failures. In this article, we review the rationale of TDM for antiretroviral drugs, the retrospective and prospective studies assessing plasma drug concentrations in relation with antiretroviral toxicity or efficacy, and the actually recommended or proposed indications for TDM. We also highlight the benefits and limits of this tool as an adjunct in the care of HIV-infected patients."
15581312,[Enfuvirtide. Two injections per day for HIV].,
15646076,Clinical pharmacology of antiretroviral therapy.,"Antiretroviral therapy represents by all means a new branch of anti-infective chemotherapy, and in order to describe the mode of action of antiretrovirals, a series of inferences from anti-bacterial chemotherapy were made. The currently available antiretroviral agents can be classified as time-dependent drugs, and therefore the key pharmacokinetic parameter adopted in their clinical-pharmacological assessment is the concentration at the end of the dosing interval (Ctrough). By focusing on this parameter, the application of Therapeutic Drug Monitoring (TDM) allows for the successful individual tailoring of the drug dosage in some clinical circumstances, such as treatment of drug-resistant infections, drug-drug interactions and side effects. While this procedure has now been sufficiently standardized for protease inhibitors (PIs) and non-nucleoside reverse transcriptase inhibitors (NNRTIs), no clinical applications are yet recognized for nucleoside/nucleotide reverse transcriptase inhibitors (N/NtRTIs) and fusion inhibitors. The main unfavourable peculiarity of HIV infection, such as the need for lifelong treatment, is one of the reasons why increasing attention is being paid to pharmacological aspects of antiretroviral therapy. Issues like treatment potency, maintenance over time of the immunovirological benefit and long-term side effects require intensive pharmacological investigation in order to obtain the information on which basing the most convenient strategy to be adopted for the therapeutical management of this condition."
15646078,Temporal change in the use of genotypic resistance testing over the years 1999--2003.,"The evaluation of resistance test perception by clinicians over the years 1999--2003 was assessed in an Italian cohort. The results on 2233 samples from 1416 HIV-1 infected patients show an increase in HIV-1 drug resistance test requests over time, with a plateau reached in the last three years. CD4-cell count at the time of genotype request progressively increased. In particular, the median CD4 cell count of drug-treated patients increased from 221x10(6) cells/l [interquartile range (IQR): 109-368] in 1999 to 296x10(6) cells/l (IQR: 166-478) in 2003 (p<0.0001). At the same time, plasma HIV-RNA level progressively decreased from a median of 103,500 copies/ml (IQR: 37,250-260,000) in 1999 to 9,444 copies/ml (IQR: 2,086-41,281) in 2003 (p<0.0001). Overall, data suggest that the genotype test is increasingly considered, and requested also for patients at earlier stages of drug history and/or at less severe disease stage."
