Entry,Name,Name(TN),Disease,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8
"D00062
","Mannitol (USP)
D-Mannitol (JP18)
  ","Osmitrol (TN)
Tobrex (TN)
Bronchitol (TN)
  ","
",Antihypertensive (intracranial,intraocular),Diagnostic aid (renal function determination),Diuretic,,,,
"D00063
","Tobramycin (JP18/USP)
  ","Tobi (TN)
Tobracin (TN)
Tobrex (TN)
Bethkis (TN)
  ","Cystic fibrosis patients with Pseudomonas aeruginosa [DS:H00218]
  ",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00064
","l-Menthol (JP18)
Levomenthol
  ","l-Menthol (TN)
  ","
",Antiperistaltic (gastric),Pharmaceutic aid (flavor),,,,,,
"D00065
","Isoleucine (USP)
L-Isoleucine (JP18)
  ","
","
",Supplement (isoleucine),,,,,,,
"D00066
","Progesterone (JP18/USP/INN)
  ","Crinone (TN)
Prometrium (TN)
  ","
",Menstruation disorder agent,Luteal replacement,Progesterone receptor agonist,,,,,
"D00067
","Estrone (JAN/USP/INN)
  ","Estrone (TN)
  ","
",Replenisher (estrogen),Estrogen receptor agonist,,,,,,
"D00068
","Alcohol (USP)
Anhydrous ethanol (JP18)
Dehydrated ethanol
Ethyl alcohol
  ","Dehydrated ethanol (TN)
  ","
",Antineoplastic,Disinfectant (topical),Pharmaceutic aid (solvent),,,,,
"D00069
","Vitamin A oil (JP18)
  ","Chocola A (TN)
  ","
",Supplement (vitamin A),,,,,,,
"D00070
","Folic acid (JP18/USP/INN)
  ","Folicet (TN)
  ","
",Anti-anemic,Hematopoietic,Supplement (folic acid),,,,,
"D00071
","Fibronectin (human plasma) (JAN)
  ","
","
",Cell adhesion molecule,,,,,,,
"D00072
","Cytochrome c (JAN)
  ","Cytorest (TN)
  ","
",Cerebral blood flow adjuvant,,,,,,,
"D00073
","Hydroquinone (USP)
  ","Eldoquin (TN)
  ","
",Depigmentor,Tyrosinase inhibitor,,,,,,
"D00074
","Nitric oxide (JAN/USAN)
  ","INOmax (TN)
  ","Pulmonary hypertension [DS:H01619 H01621]
  ",Vasodilator (pulmonary),,,,,,,
"D00075
","Testosterone (JAN/USP)
  ","Androderm (TN)
Androgel (TN)
Axiron (TN)
Striant (TN)
Testim (TN)
  ","Hypogonadotropic hypogonadism [DS:H00255]
  ",Replenisher (androgen),Androgen receptor agonist,,,,,,
"D00076
","Noradrenaline (JP18)
Norepinephrine (INN)
  ","Nor adrenalin (TN)
  ","
",Antihypotensive,Vasoconstrictor,Adrenergic receptor agonist,,,,,
"D00077
","Benzyl alcohol (JP18/NF/INN)
  ","Ulesfia (TN)
  ","Head lice infestation [DS:H01054]
  ",Pharmaceutic aid (antimicrobial preservative),,,,,,,
"D00078
","Propylene glycol (JP18/USP)
  ","Propylene glycol (TN)
  ","
",Pharmaceutic aid (humectant,solvent,suspending),,,,,
"D00079
","Dinoprostone (JAN/USP/INN)
  ","Cervidil (TN)
Prepidil (TN)
Prostin E2 (TN)
  ","
",Oxytocic,Prostaglandin E2 receptor agonist,,,,,,
"D00080
","Chondroitin sulfate A (JAN)
  ","
","
",Analgesic,Anti-inflammatory,,,,,,
"D00081
","Dinoprost (JP18/USAN/INN)
  ","Prosmon (TN)
  ","
",Oxytocic,Prostaglandin F receptor agonist,,,,,,
"D00082
","Pyridoxamine phosphate (JAN)
Pyridoxamine phosphate dihydrate
  ","
","
",Supplement (vitamin B6),,,,,,,
"D00083
","Nitrogen (JP18/NF)
  ","Nitrogen (TN)
  ","
",Medical gases,,,,,,,
"D00084
","Dextrin (JP18/NF)
  ","
","
",Pharmaceutic aid (suspending,tablet binder,tablet and capsule diluent,viscosity-increasing),,,,
"D00085
","Insulin (JAN/USP)
  ","
","
",Antidiabetic,Insulin receptor agonist,,,,,,
"D00086
","Thioctic acid (JAN)
  ","Thiotomin (TN)
  ","
",Supplement (thioctic acid),,,,,,,
"D00087
","Ubenimex (JP18/INN)
  ","Bestatin (TN)
  ","
",Antineoplastic,Immunomodulator,,,,,,
"D00088
","Hydrocortisone (JP18/USP/INN)
HC
  ","Acticort (TN)
Anusol HC (TN)
Colocort (TN)
Cortef (TN)
Hytone (TN)
Plenadren (TN)
  ","Ulcerative colitis [DS:H01466]
Primary or secondary adrenocortical insufficiency [DS:H01598]
Psoriatic arthritis [DS:H01507]
Rheumatoid arthritis [DS:H00630]
Juvenile rheumatoid arthritis [DS:H01672]
Ankylosing spondylitis [DS:H01674]
Acute gouty arthritis [DS:H01532]
Systemic lupus erythematosus [DS:H00080]
Pemphigus [DS:H01648]
Severe erythema multiforme [DS:H01695]
Stevens-Johnson syndrome [DS:H01694]
Mycosis fungoides [DS:H01463]
Psoriasis [DS:H01656]
Seborrheic dermatitis [DS:H01652]
Seasonal or perennial allergic rhinitis [DS:H01360]
Bronchial asthma [DS:H00079]
Contact dermatitis [DS:H01357]
Atopic dermatitis [DS:H01358]
Herpes zoster ophthalmicus [DS:H00366]
Optic neuritis [DS:H01717]
Pulmonary tuberculosis [DS:H00342]
Acquired (autoimmune) hemolytic anemia [DS:H01585]
Nephrotic syndrome [DS:H01657]
Ulcerative colitis [DS:H01466]
Multiple sclerosis [DS:H01490]
  ",Anti-inflammatory,Glucocorticoid receptor agonist,,,,,,
"D00089
","Oxytocin (JP18/USP/INN)
  ","Oxytocin (TN)
Pitocin (TN)
Syntocinon (TN)
  ","
",Oxytocic,Oxytocin receptor agonist,,,,,,
"D00090
","Thrombin (JP18/USP/INN)
Factor IIa
  ","Thrombostat (TN)
  ","
",Blood coagulation factor (enzyme),Hemostatic,,,,,,
"D00091
","Vanillin (NF)
  ","
","
",Pharmaceutic aid (flavor),,,,,,,
"D00092
","Coptis rhizome (JP18)
Powdered coptis rhizome (JP18)
  ","Coptis rhizome (TN)
  ","
",Antibacterial,Antispasmodic,Choleretic,Stomachic,,,,
"D00093
","Microcrystalline cellulose (JP18)
Cellulose, microcrystalline (NF)
Powdered cellulose (JP18)
  ","Avicel PH (TN)
  ","
",Pharmaceutic aid (tablet and capsule diluent),,,,,,,
"D00094
","Tretinoin (JAN/USP/INN)
  ","Avita (TN)
Renova (TN)
Retin A (TN)
Tretinoin (TN)
  ","Acne vulgaris [DS:H01445]
  ",Antineoplastic,Keratolytic,Retinoic acid receptor (RAR) agonist,,,,,
"D00095
","Epinephrine (USP/INN)
Adrenaline (JP18)
  ","Adrenalin (TN)
Auvi-q (TN)
Epipen (TN)
  ","Anaphylaxis [DS:H01359]
  ",Bronchodilator,Vasoconstrictor,Adrenergic receptor agonist,,,,,
"D00096
","Sorbitol solution (USP)
D-Sorbitol (JP18)
Sorbitol (NF)
  ","Sorbitol 3% in plastic container (TN)
  ","
",Diagnostic aid (contrast adjunct),Laxative,Perfusate,Pharmaceutic aid (tablet excipient),Supplement (nutrient),,,
"D00097
","Salicylic acid (JP18/USP)
  ","Salicylic acid (TN)
  ","
",Antifungal,Keratolytic,,,,,,
"D00098
","Camphor (USP)
dl-Camphor (JP18)
  ","
","
",Analgesic,Anti-inflammatory,Antipruritic,,,,,
"D00099
","Cetanol (JP18)
Cetyl alcohol (NF)
  ","Cetanol (TN)
  ","
",Pharmaceutic aid (emulsifying,stiffening),,,,,,
"D00100
","Menatetrenone (JP18/INN)
  ","Vitamin K2 (TN)
  ","
",Hemostatic,Osteoporosis agent,,,,,,
"D00101
","Vasopressin (JP18/USP)
  ","Pitressin (TN)
Vasostrict (TN)
  ","
",Antidiuretic,Antihypotensive,Arginine vasopressin receptor agonist,,,,,
"D00102
","Nitrous oxide (JP18/USP)
  ","Nitrous oxide (TN)
  ","
",Anesthetic (inhalation),,,,,,,
"D00103
","Tartaric acid (JP18/NF)
  ","Tartaric acid (TN)
  ","
",Pharmaceutic aid (buffering agent,flavor),,,,,,
"D00104
","Chloramphenicol (JP18/USP/INN)
  ","Amphicol (TN)
Chloromycetin (TN)
Econochlor (TN)
  ","
",Antibacterial,Antirickettsial,Protein biosynthesis inhibitor,,,,,
"D00105
","Estradiol (JAN/USP/INN)
  ","Climara (TN)
Divigel (TN)
Estrace (TN)
Estraderm (TN)
Estrasorb (TN)
Estring (TN)
Estrogel (TN)
Innofem (TN)
Vagifem (TN)
Vivelle (TN)
  ","Postmenopausal osteoporosis [DS:H01593]
Primary ovarian failure [DS:H00627]
  ",Menstruation disorder agent,Estrogen receptor agonist,,,,,,
"D00106
","Epoprostenol (USAN/INN)
Prostaglandin I2
Prostacyclin
  ","Epoprostenol (TN)
  ","Pulmonary arterial hypertension [DS:H01621]
  ",Platelet aggregation inhibitor,Prostaglandin I2 receptor agonist,,,,,,
"D00107
","Tacrolimus (USP/INN)
Tacrolimus hydrate (JP18)
  ","Prograf (TN)
Protopic (TN)
  ","Organ rejection in kidney transplant [DS:H00083]
Organ rejection in liver transplant [DS:H00083]
Organ rejection in heart transplant [DS:H00083]
Atopic dermatitis [DS:H01358]
  ",Antiallergic,Immunosuppressant,Calcineurin inhibitor,,,,,
"D00108
","Iodine (JP18/USP)
  ","Cadex (TN)
  ","
",Anti-ulcerative (skin),Disinfectant (topical),Pharmaceutic aid,,,,,
"D00109
","Aspirin (JP18/USP)
Aspalon (JAN)
Acetylsalicylic acid
  ","Easprin (TN)
Durlaza (TN)
  ","Myocardial infarction [DS:H01730]
Unstable angina pectoris [DS:H01632]
Chronic stable angina [DS:H01632]
  ",Analgesic,Anti-inflammatory,Antipyretic,Antirheumatic,Antiplatelet,COX inhibitor,,
"D00110
","Cocaine (USP)
  ","Cocaine (TN)
  ","
",Anesthetic (topical),Narcotic,,,,,,
"D00111
","Lactic acid (JP18/USP)
  ","Lactate (TN)
  ","
",Pharmaceutic aid (flavor),,,,,,,
"D00112
","G-Strophanthin (JAN)
Ouabain octahydrate
  ","
","
",Cardiotonic,,,,,,,
"D00113
","Atropine (USP)
  ","Atropen (TN)
  ","
",Mydriatic,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00114
","Fructose (JP18/USP)
D-Fructose
  ","Fructon (TN)
  ","
",Supplement (nutrient),,,,,,,
"D00115
","Gelatin (JP18/NF)
  ","Gelfilm (TN)
  ","
",Hemostatic (local),Pharmaceutic aid (encapsulating,suspending,tablet binder,tablet coating),,,
"D00116
","Glucagon (genetical recombination) (JP18)
Glucagon (JAN/USP/INN)
  ","Glucagon (TN)
  ","
",Antidiabetic,Diagnostic,Glucagon receptor agonist,,,,,
"D00117
","Guaiacol (JAN)
  ","Creodon (TN)
  ","
",Analgesic,Disinfectant,,,,,,
"D00118
","Naproxen (JP18/USP/INN)
  ","Naprosyn (TN)
  ","Rheumatoid arthritis [DS:H00630]
Ankylosing spondylitis [DS:H01674]
Polyarticular juvenile idiopathic arthritis [DS:H01672]
Acute gout [DS:H01532]
  ",Analgesic,Anti-inflammatory,Antipyretic,COX inhibitor,,,,
"D00119
","Stearic acid (JP18/NF)
  ","Stearic acid (TN)
  ","
",Pharmaceutic aid (emulsion adjunct,tablet and capsule lubricant),,,,,,
"D00120
","Sulindac (JP18/USP/INN)
  ","Clinoril (TN)
  ","
",Analgesic,Anti-inflammatory,COX inhibitor,,,,,
"D00121
","Allantoin (JAN/USP)
  ","
","
",Anti-inflammatory,Vulnerary (topical),,,,,,
"D00122
","Calcifediol (USP/INN)
Calcifediol monohydrate
  ","Calderol (TN)
Rayaldee (TN)
  ","Secondary hyperparathyroidism [DS:H01669]
  ",Diagnostic aid,Regulator (calcium),,,,,,
"D00123
","Cyanamide (JP18)
  ","Cyanamide (TN)
  ","
",Antialcohol dependence,Aldehyde dehydrogenase inhibitor,,,,,,
"D00124
","Ephedrine (USP)
  ","Ephedrine (TN)
  ","
",Bronchodilator,Adrenergic receptor agonist,,,,,,
"D00125
","Etoposide (JP18/USP/INN)
  ","Vepesid (TN)
  ","Testicular tumors [DS:H00023]
Small cell lung cancer [DS:H00013]
  ",Antineoplastic,Topoisomerase II inhibitor,,,,,,
"D00126
","Ibuprofen (JP18/USP/INN)
  ","Advil (TN)
Motrin (TN)
  ","
",Analgesic,Anti-inflammatory,Antipyretic,COX inhibitor,,,,
"D00127
","Piroxicam (JP18/USP/INN)
  ","Feldene (TN)
  ","Rheumatoid arthritis [DS:H00630]
  ",Analgesic,Anti-inflammatory,Antirheumatic,COX inhibitor,,,,
"D00128
","Bacitracin (JP18/USP/INN)
  ","Baciim (TN)
Bacitracin (TN)
  ","Staphylococcal infection [DS:H01175]
  ",Antibacterial,Cell membrane function inhibitor,,,,,,
"D00129
","Calcitriol (JAN/USP/INN)
  ","Rocaltrol (TN)
  ","Hypoparathyroidism [DS:H01862]
Plaque psoriasis [DS:H01656]
  ",Osteoporosis agent,Vitamin D receptor agonist,,,,,,
"D00130
","Diflunisal (JAN/USP/INN)
  ","Dolobid (TN)
  ","
",Analgesic,Anti-inflammatory,COX inhibitor,,,,,
"D00131
","Disulfiram (JP18/USP/INN)
  ","Antabuse (TN)
  ","Management of selected chronic alcohol patients [DS:H01611]
  ",Antialcohol dependence,Aldehyde dehydrogenase inhibitor,,,,,,
"D00132
","Ketoprofen (JP18/USP/INN)
  ","Orudis (TN)
  ","
",Analgesic,Anti-inflammatory,Antipyretic,COX inhibitor,,,,
"D00133
","Resorcinol (USP)
Resorcin (JAN)
  ","Resorcin (TN)
  ","
",Anti-acne,Disinfectant (topical),Keratolytic,,,,,
"D00134
","Albendazole (JAN/USP/INN)
  ","Albenza (TN)
  ","Neurocysticercosis [DS:H01047]
Hydatid disease [DS:H01153]
  ",Anthelmintic,,,,,,,
"D00135
","Capreomycin sulfate (JAN/USP)
  ","Capastat sulfate (TN)
  ","Tuberculosis [DS:H00342]
  ",Antibacterial (tuberculostatic),,,,,,,
"D00136
","Haloperidol (JP18/USP/INN)
  ","Haldol (TN)
  ","Tourette’s disorder [DS:H00862]
  ",Antipsychotic,Antidyskinetic,Neuroleptic,Dopamine D2 receptor antagonist,,,,
"D00137
","Isopropyl alcohol (USP)
Isopropanol (JP18)
  ","Isopro (TN)
  ","
",Disinfectant (topical),Pharmaceutic aid (solvent),,,,,,
"D00138
","Scopolamine (INN)
  ","Transderm scop (TN)
  ","
",Antiemetic,Mydriatic,Muscarinic acetylcholine receptor antagonist,,,,,
"D00139
","Methoxsalen (JP18/USP)
  ","Oxsoralen (TN)
UVADEX (TN)
  ","Psoriasis [DS:H01656]
  ",Antivitiligo,Pigmentation agent,,,,,,
"D00140
","Erythromycin (JP18/USP/INN)
  ","Akne-mycin (TN)
Eryc (TN)
Erygel (TN)
Pce (TN)
Staticin (TN)
T-stat (TN)
  ","Acne vulgaris [DS:H01445]
Listeriosis [DS:H00332]
Pertussis [DS:H00319]
Diphtheria [DS:H00343]
Amebiasis [DS:H00360]
Syphilis [DS:H00354]
Legionnaires' disease [DS:H00311]
  ",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00141
","Indomethacin (USP)
Indometacin (JP18/INN)
  ","Aconip (TN)
Indocin (TN)
  ","Rheumatoid arthritis [DS:H00630]
Ankylosing spondylitis [DS:H01674]
Acute gouty arthritis [DS:H01532]
  ",Analgesic,Anti-inflammatory,Antipyretic,COX inhibitor,,,,
"D00142
","Methotrexate (JP18/USP/INN)
  ","Otrexup (TN)
Xatmep (TN)
  ","Rheumatoid arthritis [DS:H00630]
Juvenile idiopathic arthritis [DS:H01672]
Psoriasis [DS:H01656]
Lymphoblastic leukemia [DS:H00001 H00002]
  ",Antineoplastic,Antimetabolite,,,,,,
"D00143
","Pregnenolone (JAN/INN)
  ","
","
",Prohormone,,,,,,,
"D00144
","Pyrazinamide (JP18/USP/INN)
(abbr) PZA
  ","Pyrazinamide (TN)
  ","Tuberculosis [DS:H00342]
  ",Antibacterial (tuberculostatic),,,,,,,
"D00145
","Trimethoprim (JAN/USP/INN)
  ","Proloprim (TN)
Trimpex (TN)
  ","Uncomplicated urinary tract infections [DS:H01176]
  ",Antibacterial,Folic acid biosynthesis inhibitor,,,,,,
"D00146
","Corticotropin (USP/INN)
  ","ACTH (TN)
Acthar (TN)
  ","Multiple sclerosis [DS:H01490]
Psoriatic arthritis [DS:H01656]
Rheumatoid arthritis [DS:H00630]
Juvenile rheumatoid arthritis [DS:H01672]
Ankylosing spondylitis [DS:H01674]
Systemic lupus erythematosus [DS:H00080]
Systemic dermatomyositis, polymyositis [DS:H01604]
Erythema multiforme [DS:H01695]
Stevens-Johnson syndrome [DS:H01694]
Optic neuritis [DS:H01717]
Nephrotic syndrome [DS:H01657]
  ",Diagnostic (adrenocortical insufficiency),Melanocortin 2 receptor agonist,,,,,,
"D00147
","Hyoscyamine (USP)
  ","
","
",Antispasmodic,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00148
","Phytonadione (JP18/USP)
Phytomenadione (INN)
  ","Mephyton (TN)
Vitamin K1 (TN)
  ","Coagulation disorders which are due to faulty formation of factors II,VII, IX and X when caused by vitamin K deficiency or interference with vitamin K activity [DS:H00995]
  ",Antihypoprothrombinemia,Hemostatic,Supplement (vitamin K1),,,,,
"D00149
","Parachlorophenol (JAN/USP)
p-Chlorophenol
  ","
","
",Antibacterial,,,,,,,
"D00150
","Angiotensin II (INN)
  ","
","
",Vasoconstrictor,Angiotensin II receptor agonist,,,,,,
"D00151
","Mefenamic acid (JP18/USP/INN)
  ","Ponstel (TN)
  ","
",Analgesic,Anti-inflammatory,Antipyretic,COX inhibitor,,,,
"D00152
","Phloroglucinol (JAN)
  ","Dilospan S (TN)
  ","
",Antispasmodic,Cathechol-O-methyltransferase (COMT) inhibitor,,,,,,
"D00153
","Testolactone (USP/INN)
  ","Teslac (TN)
  ","
",Antineoplastic,,,,,,,
"D00154
","Santonin (JP18)
  ","Santonin (TN)
  ","
",Anthelmintic,,,,,,,
"D00155
","Pentostatin (JAN/USAN/INN)
  ","Nipent (TN)
  ","Hairy-cell leukemia [DS:H00006]
  ",Antineoplastic,Potentiator,,,,,,
"D00156
","Glycyrrhetinic acid (JAN)
Enoxolone (INN)
  ","Hidermart (TN)
  ","
",Anti-inflammatory,Antipruritic,,,,,,
"D00157
","Glycyrrhizin (JAN)
Glycyrrhizic acid
  ","
","
",Anti-ulcerative,Expectorant,,,,,,
"D00158
","Tolmetin sodium (JAN/USP)
Tolmetin sodium dihydrate
  ","Tolectin (TN)
  ","
",Anti-inflammatory,COX inhibitor,,,,,,
"D00159
","Frentizole (USAN/INN)
  ","
","
",Immunosuppressant,,,,,,,
"D00160
","Aminocaproic acid (USP/INN)
Epsilon-Aminocaproic acid (JAN)
  ","Amicar (TN)
  ","
",Antifibrinolytic,Anti-inflammatory,Plasmin inhibitor,,,,,
"D00161
","Mercaptopurine (USP)
Mercaptopurine hydrate (JP18)
  ","Purinethol (TN)
Purixan (TN)
  ","Acute lymphoblastic leukemia [DS:H00001 H00002]
  ",Antineoplastic,Antimetabolite,,,,,,
"D00162
","Aminosalicylic acid (USP)
  ","Pamisyl (TN)
Paser (TN)
  ","Tuberculosis [DS:H00342]
  ",Antibacterial (tuberculostatic),,,,,,,
"D00163
","Chenodiol (USAN)
Chenodeoxycholic acid (JP18/INN)
  ","Chenix (TN)
  ","Radiolucent stones in well-opacifying gallbladders [DS:H01213]
  ",Anticholelithogenic,,,,,,,
